Course,CO,PO
CSE103,CO1,PO 1
CSE103,CO2,PO 1
CSE103,CO3,PO 1
CSE103,CO4,PO 1
CSE105,CO1,PO 1
CSE105,CO2,PO 1
CSE105,CO3,PO 1
CSE105,CO4,PO 1
CSE106,CO1,PO 1
CSE106,CO2,PO 1
CSE106,CO3,PO 1
CSE106,CO4,PO 1
CSE107,CO1,PO 1
CSE107,CO2,PO 1
CSE107,CO3,PO 1
CSE107,CO4,PO 1
CSE109,CO1,PO 1
CSE109,CO2,PO 2
CSE109,CO3,PO 2
CSE109,CO4,PO 1
CSE110,CO1,PO 1
CSE110,CO2,PO 1
CSE110,CO3,PO 1
CSE110,CO4,PO 1
CSE200,CO1,PO 1
CSE200,CO2,PO 1
CSE200,CO3,PO 1
CSE200,CO4,PO 1
CSE205,CO1,PO 1
CSE205,CO2,PO 1
CSE205,CO3,PO 1
CSE205,CO4,PO 1
CSE207,CO1,PO 1
CSE207,CO2,PO 1
CSE207,CO3,PO 2
CSE207,CO4,PO 2
CSE209,CO1,PO 1
CSE209,CO2,PO 2
CSE209,CO3,PO 2
CSE209,CO4,PO 1
CSE225,CO1,PO 1
CSE225,CO2,PO 1
CSE225,CO3,PO 1
CSE225,CO4,PO 1
CSE245,CO1,PO 1
CSE245,CO2,PO 1
CSE245,CO3,PO 1
CSE245,CO4,PO 1
CSE246,CO1,PO 1
CSE246,CO2,PO 1
CSE246,CO3,PO 2
CSE246,CO4,PO 2
CSE248,CO1,PO 1
CSE248,CO2,PO 1
CSE248,CO3,PO 1
CSE248,CO4,PO 1
CSE251,CO1,PO 1
CSE251,CO2,PO 2
CSE251,CO3,PO 2
CSE251,CO4,PO 1
CSE301,CO1,PO 1
CSE301,CO2,PO 1
CSE301,CO3,PO 3
CSE301,CO4,PO 5
CSE302,CO1,PO 1
CSE302,CO2,PO 1
CSE302,CO3,PO 3
CSE302,CO4,PO 5
CSE303,CO1,PO 1
CSE303,CO2,PO 1
CSE303,CO3,PO 1
CSE303,CO4,PO 1
CSE313,CO1,PO 1
CSE313,CO2,PO 1
CSE313,CO3,PO 1
CSE313,CO4,PO 1
CSE325,CO1,PO 1
CSE325,CO2,PO 1
CSE325,CO3,PO 2
CSE325,CO4,PO 5
CSE345,CO1,PO 1
CSE345,CO2,PO 2
CSE345,CO3,PO 3
CSE345,CO4,PO 3
